Account,End Customer Name,Site Name,IMSI,IMEI,APN,Attribute Value: FWD,Attribute Value: RTN,Attribute Value: AF,Attribute Value: AF FWD,Attribute Value: AF RTN,Attribute Value: EF,Attribute Value: EF RTN,Attribute Value: EF FWD,Attribute Value: BE,Attribute Value: BE FWD,Attribute Value: BE RTN,Attribute Value: Service Grade,Geolocation,Order: Order Number,Order Line Item: Line Item Id,Site Connectivity ID,Network Slice ID,Interconnect ID,Product,Static IP Address,Attribute Value: Site Connectivity,Network Slice ID,Actual Activation Date,Target Activation Date,Selling Term,Attribute Value: Budgeted Mbps
Pacific Dataport Inc,PDI EC Test,ANC,901600000001248,351554110001642,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"61.173, -149.8849",O-00000045,OI-0000000190,SC-0000000133,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"10/12/2021, 15:00",17-11-2021,3,90
Pacific Dataport Inc,Anchorage,ANCUS1 Beta,901600000000076,351554110000990,pdi.ba.mnc060.mcc901.gprs,20,4,0,0,0,0,0,0,24,20,4,Palladium,"61.173, -147.884",O-00000069,OI-0000000269,SC-0000000208,NS-0000000122,IC-0000000120,Trial PDI-IPC 20/4/UPD,,IP Access,Network Slice,"14/01/2022, 11:00",30-12-2021,2,24
ROCK Networks,Rock Networks Demo site,Rock Networks HQ,901600000000140,351554110000701,cbh.customer.mnc060.mcc901.gprs,25,5,0,0,0,0,0,0,6,5,1,Gold,"45.38231, -75.61783",O-00000050,OI-0000000203,SC-0000000146,NS-0000000145,IC-0000000143,Trial RN-GW 25/5/UG,,IP Access,Network Slice,"30/12/2021, 12:45",19-11-2021,3,6
OneWeb Golden UT,One Web,Talkeetna,901600000000179,351554110001006,sprint.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"62.332325, -150.032578",O-00000075,OI-0000000296,SC-0000000235,NS-0000000234,IC-0000000232,Classic 75/15/UG,,IP Access,Network Slice,"14/01/2022, 15:00",13-01-2022,60,18
OneWeb Golden UT,One Web,Talkeetna,901600000000301,351554110000164,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"62.332325, -150.032578",O-00000092,OI-0000000355,SC-0000000293,NS-0000000234,IC-0000000232,Classic 30/6/UG,,IP Access,Network Slice,"24/02/2022, 20:00",28-01-2022,60,7.2
OneWeb Golden UT,One Web,Sintra,901600000000272,351554110000198,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"38.8692, -9.2817517",O-00000172,OI-0000000606,SC-0000000571,NS-0000000253,IC-0000000251,Classic 30/6/UG,,IP Access,Network Slice,"16/03/2022, 12:00",28-01-2022,60,7.2
OneWeb Golden UT,One Web,London,901600000001362,351554110000586,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"51.511, -.2248",O-00000080,OI-0000000316,SC-0000000254,NS-0000000253,IC-0000000251,Classic 30/6/UG,,IP Access,Network Slice,"24/02/2022, 20:30",28-01-2022,60,7.2
OneWeb Golden UT,One Web,Westcott,901600000000304,351554110000362,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"51.8439877, -.9712927",O-00000108,OI-0000000398,SC-0000000336,NS-0000000253,IC-0000000251,Classic 30/6/UG,,IP Access,Network Slice,"24/02/2022, 20:45",28-01-2022,60,7.2
OneWeb Golden UT,One Web,Southbury,901600000001085,351554110003200,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"41.4515, -73.28938",O-00000083,OI-0000000331,SC-0000000269,NS-0000000266,IC-0000000267,Classic 30/6/UG,,IP Access,Network Slice,"24/02/2022, 20:45",28-01-2022,60,7.2
OneWeb Golden UT,One Web,Nuuk,901600000001099,351554110003598,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"64.2021, -51.6446",O-00000093,OI-0000000357,SC-0000000295,NS-0000000266,IC-0000000267,Classic 30/6/UG,,IP Access,Network Slice,"24/02/2022, 20:45",28-01-2022,60,7.2
OneWeb Golden UT,One Web,Santa Paula,901600000000312,351554110000255,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"34.401512, -119.07386",O-00000203,OI-0000000709,SC-0000000659,NS-0000000338,IC-0000000339,Classic 30/6/UG,,IP Access,Network Slice,"13/04/2022, 11:00",11-04-2022,60,7.2
OneWeb Golden UT,One Web,Clewiston,901600000001366,351554110001022,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"26.747926, -81.049149",O-00000109,OI-0000000403,SC-0000000341,NS-0000000338,IC-0000000339,Classic 30/6/UG,,IP Access,Network Slice,"24/02/2022, 21:00",21-02-2022,60,7.2
OneWeb Golden UT,One Web,Santiago,901600000000324,351554110000289,sprint.mnc060.mcc901.gprs,30,6,0,0,0,0,0,0,7.2,6,1.2,Gold,"-33.14991, -70.6672",O-00000220,OI-0000000779,SC-0000000729,NS-0000000728,IC-0000000726,Classic 30/6/UG,,IP Access,Network Slice,"29/04/2022, 11:00",27-04-2022,60,7.2
OneWeb UT,Clarus - HQ,Clarus HQ,901600000001339,351554110002236,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"55.883961, -3.62679",O-00000247,OI-0000000851,SC-0000000790,NS-0000000385,IC-0000000386,Trial Entry 75/15/500B,,IP Access,Network Slice,,25-05-2022,3,4.76
OneWeb UT,BT M&B,BT - Madley Satellite Communications Centre,901600000000081,351554110002319,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"52.032, -2.841",O-00000123,OI-0000000423,SC-0000000388,NS-0000000385,IC-0000000386,Trial Entry 75/15/500B,,IP Access,Network Slice,"24/02/2022, 21:00",24-02-2022,3,4.76
OneWeb UT,BT EE,Bristol Parkgate Building,901600000000138,351554110002327,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"51.543333, -2.571667",O-00000124,OI-0000000429,SC-0000000394,NS-0000000391,IC-0000000392,Trial Entry 75/15/500B,,IP Access,Network Slice,"25/02/2022, 09:45",23-02-2022,3,4.76
OneWeb UT,BT GS,BT Adastral,901600000001380,351554110002301,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"52.06007055265902, 1.280551696734517",O-00000148,OI-0000000498,SC-0000000463,NS-0000000460,IC-0000000461,Trial Entry 75/15/500B,,IP Access,Network Slice,"04/03/2022, 20:00",03-03-2022,3,4.76
OneWeb UT,Rock Networks - MDA DND R&D Project,"MDA Richmond, BC",901600000000858,351554110005221,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"49.17569283, -123.0699687",O-00000213,OI-0000000738,SC-0000000688,NS-0000000687,IC-0000000685,Trial Entry 75/15/500B,,IP Access,Network Slice,"20/04/2022, 11:00",20-04-2022,3,4.76
OneWeb UT,Telespazio France,Telespazio France office,901600000001108,351554110004422,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"43.6, 1.3",O-00000217,OI-0000000769,SC-0000000719,NS-0000000716,IC-0000000717,Trial Entry 75/15/500B,,IP Access,Network Slice,"26/04/2022, 11:00",27-04-2022,2,4.76
OneWeb UT,Tusass,Tusass Test Nuuk,901600000001266,351554110000883,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"64.182914, -51.732564",O-00000225,OI-0000000789,SC-0000000739,NS-0000000744,IC-0000000742,Trial Entry 75/15/500B,,IP Access,Network Slice,"05/05/2022, 11:00",04-05-2022,2,4.76
OneWeb UT,Shared Services Canada - Department of National Defence,Department of National Defence,901600000001255,351554110001691,cbh.customer.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"45.345228, -75.885469",O-00000169,OI-0000000597,SC-0000000562,NS-0000000559,IC-0000000560,TRIAL Classic 50/10/UG,,IP Access,Network Slice,"16/03/2022, 12:00",21-03-2022,3,12
OneWeb UT,Shared Services Canada - RCMP,Technical Operations,901600000001118,351554110002889,cbh.customer.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"45.457377, -75.56192",O-00000170,OI-0000000602,SC-0000000567,NS-0000000564,IC-0000000565,TRIAL Classic 50/10/UG,,IP Access,Network Slice,"16/03/2022, 12:00",21-03-2022,3,12
OneWeb UT,Kyndryl - Cargill PoC Kindersely,Kindersely,901600000000856,351554110004737,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"51.47391, -109.05269",O-00000229,OI-0000000803,SC-0000000751,NS-0000000214,IC-0000000212,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"12/05/2022, 11:00",10-05-2022,1,18
OneWeb UT,Kyndryl - AR Test 2,Regina AR Test 2,901600000001287,351554110002244,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"50.41, -104.59",O-00000144,OI-0000000481,SC-0000000446,NS-0000000214,IC-0000000212,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"08/03/2022, 20:00",01-03-2022,3,18
OneWeb UT,NorthwesTel - Diavik Mine Site,NorthwesTel - Diavik Mine Site,901600000001240,351554110000719,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"64.490997, -110.270667",O-00000208,OI-0000000719,SC-0000000669,NS-0000000217,IC-0000000215,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"14/04/2022, 19:00",14-04-2022,3,18
OneWeb UT,NorthwesTel - Ekati Mine Site,Northwestel - Ekati Mine Site,901600000001286,351554110001188,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"64.692664, -110.610497",O-00000207,OI-0000000717,SC-0000000667,NS-0000000217,IC-0000000215,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"14/04/2022, 11:00",14-04-2022,3,18
OneWeb UT,Northwestel - Yellowknife 4,Yellowknife 4,901600000000964,351554110004992,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"62.4561830404678, -114.4099419",O-00000198,OI-0000000698,SC-0000000648,NS-0000000217,IC-0000000215,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"06/04/2022, 19:00",05-04-2022,3,18
OneWeb UT,Northwestel - Yellowknife 5,Yellowknife 5,901600000000729,351554110004927,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"62.4561830404678, -114.4099419",O-00000199,OI-0000000700,SC-0000000650,NS-0000000217,IC-0000000215,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"06/04/2022, 19:00",05-04-2022,3,18
OneWeb UT,Northwestel - Yellowknife 3,Yellowknife 3,901600000001133,351554110004182,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"62.4561830404678, -114.4099419",O-00000200,OI-0000000702,SC-0000000652,NS-0000000217,IC-0000000215,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"06/04/2022, 19:00",05-04-2022,3,18
OneWeb UT,NorthwesTel - Iqaluit 1,Iqaluit 1,901600000001356,351554110000727,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"63.74558096188353, -68.51418401",O-00000142,OI-0000000474,SC-0000000439,NS-0000000436,IC-0000000437,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"03/03/2022, 20:00",03-03-2022,3,18
OneWeb UT,NorthwesTel - Iqaluit 2,Iqaluit 2,901600000001282,351554110000867,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"63.74558096188353, -68.51418401",O-00000143,OI-0000000479,SC-0000000444,NS-0000000441,IC-0000000442,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"03/03/2022, 20:00",03-03-2022,3,18
OneWeb UT,Galaxy - Pipestone 2,Pipestone mine site 2,901600000001181,351554110003291,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"52.30872, -90.57527",O-00000145,OI-0000000486,SC-0000000451,NS-0000000448,IC-0000000449,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"04/03/2022, 20:00",03-03-2022,3,18
OneWeb UT,KuSat - Kuujjuaq Hospital,KuSat - Kuujjuaq Hospital,901600000001024,351554110002897,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"58.11028096, -68.40138349",O-00000248,OI-0000000854,SC-0000000793,NS-0000000455,IC-0000000456,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"24/05/2022, 19:00",24-05-2022,3,18
OneWeb UT,KuSat - Kuujjuaq School,KuSat - Kuujjuaq School,901600000001035,351554110002871,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"58.11028096, -68.40138349",O-00000250,OI-0000000858,SC-0000000797,NS-0000000455,IC-0000000456,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"24/05/2022, 19:00",24-05-2022,3,18
OneWeb UT,KuSat - Ivujivik School,KuSat - Ivujivik School,901600000001212,351554110002855,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"62.42148966, -77.91634528",O-00000249,OI-0000000856,SC-0000000795,NS-0000000455,IC-0000000456,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"24/05/2022, 19:00",24-05-2022,3,18
OneWeb UT,Galaxy - Mississauga office,Galaxy - Mississauga office,901600000001264,351554110000818,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"43.52545719, -79.71589703",O-00000209,OI-0000000721,SC-0000000671,NS-0000000455,IC-0000000456,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"14/04/2022, 19:00",14-04-2022,3,18
OneWeb UT,Galaxy - Pipestone 1,Pipestone mine site,901600000001203,351554110003135,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"52.30872, -90.57527",O-00000147,OI-0000000493,SC-0000000458,NS-0000000455,IC-0000000456,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"04/03/2022, 20:00",03-03-2022,3,18
OneWeb UT,Galaxy - AE Meliadine UT 1 (VV Testing),Galaxy - AE Meliadine Mine Site,901600000000799,351554110005882,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"63.04294444, -92.22033333",O-00000157,OI-0000000541,SC-0000000506,NS-0000000503,IC-0000000504,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"08/03/2022, 12:00",09-03-2022,3,18
OneWeb UT,Galaxy - AE Meliadine UT 2 (VV Testing),Galaxy - AE Meliadine Mine Site,901600000001122,351554110003077,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"63.04294444, -92.22033333",O-00000158,OI-0000000546,SC-0000000511,NS-0000000508,IC-0000000509,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"08/03/2022, 12:00",09-03-2022,3,18
OneWeb UT,Galaxy - Kingfisher,Galaxy - Kingfisher Mine Site,901600000000572,35155411002083,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"53.021919, -89.914",O-00000166,OI-0000000584,SC-0000000549,NS-0000000546,IC-0000000547,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"16/03/2022, 12:00",17-03-2022,3,18
OneWeb UT,Galaxy - Canadian Royalties,Galaxy - Canadian Royalties,901600000000743,351554110006161,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"61.5554861, -73.4492889",O-00000234,OI-0000000817,SC-0000000762,NS-0000000596,IC-0000000597,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"18/05/2022, 19:00",18-05-2022,3,18
OneWeb UT,Galaxy - Vale,Galaxy - Vale mine site,901600000001260,351554110000768,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"56.338056, -62.095278",O-00000179,OI-0000000637,SC-0000000599,NS-0000000596,IC-0000000597,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"31/03/2022, 14:00",30-03-2022,3,18
OneWeb UT,Galaxy - Glencore Raglan,Galaxy - Glencore Raglan mine site,901600000000063,351554110000842,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"61.6875, -73.678056",O-00000180,OI-0000000642,SC-0000000604,NS-0000000601,IC-0000000602,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"30/03/2022, 19:00",30-03-2022,3,18
OneWeb UT,Galaxy - Kiewit Raglan,Galaxy - Kiewit Raglan mine site,901600000000958,351554110005965,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"61.6875, -73.678056",O-00000181,OI-0000000647,SC-0000000609,NS-0000000606,IC-0000000607,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"30/03/2022, 19:00",30-03-2022,3,18
OneWeb UT,Galaxy - NJ Albert Mine,Galaxy - NJ Albert Mine site,901600000000878,351554110006179,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"46.07423, -73.5324146",O-00000223,OI-0000000785,SC-0000000735,NS-0000000611,IC-0000000612,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"04/05/2022, 11:00",04-05-2022,3,18
OneWeb UT,Galaxy - Alamos,Galaxy - Alamos mine site,901600000000935,351554110005874,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"56.825, -101.075",O-00000218,OI-0000000772,SC-0000000722,NS-0000000611,IC-0000000612,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"26/04/2022, 11:00",26-04-2022,3,18
OneWeb UT,Galaxy - Golder Victor,Galaxy - Golder Victor mine site,901600000000762,351554110006153,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"52.714444, -83.904722",O-00000182,OI-0000000652,SC-0000000614,NS-0000000611,IC-0000000612,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"30/03/2022, 19:00",30-03-2022,3,18
OneWeb UT,Alaska Tribal Spectrum - Unalaska Demo,ATS - Unalaska Demo,901600000001075,351554110003184,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"53.884, -166.552",O-00000214,OI-0000000744,SC-0000000694,NS-0000000693,IC-0000000691,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"22/04/2022, 19:00",22-04-2022,2,18
OneWeb UT,Kyndryl training & demo system,Kyndryl Regina site,901600000000055,351554110001683,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"50.41499, -104.59113",O-00000070,OI-0000000271,SC-0000000210,NS-0000000214,IC-0000000212,Classic 75/15/UG,,IP Access,Network Slice,"24/01/2022, 19:45",14-01-2022,12,18
OneWeb UT,Kyndryl training & demo system,Kyndryl Regina site,901600000000055,351554110001683,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"50.41499, -104.59113",O-00000245,OI-0000000846,SC-0000000210,NS-0000000214,IC-0000000212,Classic 75/15/UG,,IP Access,Network Slice,,14-01-2022,5.38065,18
OneWeb UT,NorthwesTel - Yellowknife 2,Yellowknife 2,901600000001249,351554110002798,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"62.4561830404678, -114.409941942603",O-00000086,OI-0000000340,SC-0000000278,NS-0000000217,IC-0000000215,Classic 75/15/UG,,IP Access,Network Slice,"10/02/2022, 20:00",03-02-2022,3,18
OneWeb UT,NorthwesTel - Yellowknife 1,Yellowknife 1,901600000001165,351554110002731,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"62.4561830404678, -114.409941942603",O-00000085,OI-0000000338,SC-0000000276,NS-0000000217,IC-0000000215,Classic 75/15/UG,,IP Access,Network Slice,"10/02/2022, 20:00",03-02-2022,3,18
OneWeb UT,NorthwesTel training & demo system,NorthwesTel Whitehorse site UT#1,901600000001322,351554110000859,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"60.729486, -135.086447",O-00000071,OI-0000000279,SC-0000000218,NS-0000000217,IC-0000000215,Classic 75/15/UG,,IP Access,Network Slice,"24/01/2022, 19:30",14-01-2022,12,18
OneWeb UT,NorthwesTel training & demo system,NorthwesTel Whitehorse site UT#2,901600000001039,351554110002848,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"60.729486, -135.086447",O-00000072,OI-0000000281,SC-0000000220,NS-0000000224,IC-0000000222,Classic 75/15/UG,,IP Access,Network Slice,"24/01/2022, 20:00",14-01-2022,12,18
OneWeb UT,Softbank Komatsu,Softbank - Komatsu UK Durham,901600000001351,351554110001972,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"54.8938, -1.5809",O-00000097,OI-0000000369,SC-0000000307,NS-0000000309,IC-0000000310,Classic 75/15/UG,,IP Access,Network Slice,"21/02/2022, 09:00",18-02-2022,3,18
OneWeb UT,Softbank Komatsu,Softbank - Komatsu UK Durham,901600000001351,351554110001972,,75,15,0,0,0,0,0,0,18,15,3,Gold,"54.8938, -1.5809",O-00000176,OI-0000000627,SC-0000000307,NS-0000000309,IC-0000000310,Classic 75/15/UG,,IP Access,Network Slice,,18-02-2022,1.78095,18
OneWeb UT,Norway defence,Oslo - Norway Defence,901600000000146,351554110002715,cbh.customer.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"59.9752, 11.04",O-00000076,OI-0000000301,SC-0000000240,NS-0000000237,IC-0000000238,Classic 50/10/UG,,IP Access,Network Slice,"26/01/2022, 19:45",23-01-2022,12,12
OneWeb UT,OneWeb,OneWeb Office - Anchorage,901600000001399,351554110001741,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"61.19493828919867, -149.88562057184865",O-00000110,OI-0000000408,SC-0000000346,NS-0000000343,IC-0000000344,Entry 75/15/500B,,IP Access,Network Slice,"24/02/2022, 20:00",18-02-2022,60,4.76
OneWeb UT,OneWeb,OneWeb Office - Anchorage,901600000001120,351554110003911,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"61.19493828919867, -149.88562057184865",O-00000156,OI-0000000532,SC-0000000497,NS-0000000500,IC-0000000501,Entry 75/15/500B,,IP Access,Network Slice,"08/03/2022, 12:00",09-03-2022,60,4.76
OneWeb UT,OneWeb,London,901600000000236,351554110000149,sprint.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"51.511, -.2248",O-00000160,OI-0000000553,SC-0000000518,NS-0000000515,IC-0000000516,Entry 75/15/500B,,IP Access,Network Slice,"14/03/2022, 19:00",11-03-2022,60,4.76
OneWeb UT,OneWeb,Westcott,901600000000198,351554110000248,sprint.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"51.8439877, -.9712927",O-00000168,OI-0000000591,SC-0000000556,NS-0000000553,IC-0000000554,Entry 75/15/500B,,IP Access,Network Slice,"16/03/2022, 12:00",14-03-2022,60,4.76
OneWeb UT - Hughes,OneWeb,Croatia,901600000000208,351554110000024,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"45.814598, 15.947915",O-00000112,OI-0000000416,SC-0000000354,NS-0000000304,IC-0000000302,Classic 50/10/UG,,IP Access,Network Slice,"23/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Croatia,901600000000302,351554110000107,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"45.814598, 15.947915",O-00000113,OI-0000000418,SC-0000000356,NS-0000000304,IC-0000000302,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Palermo,901600000000203,351554110000073,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"37.913334, 13.36133",O-00000096,OI-0000000367,SC-0000000305,NS-0000000304,IC-0000000302,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Palermo,901600000000207,351554110000065,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"37.913334, 13.36133",O-00000098,OI-0000000374,SC-0000000312,NS-0000000304,IC-0000000302,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:15",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Palermo,901600000000331,351602004120646,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"37.913334, 13.36133",O-00000099,OI-0000000376,SC-0000000314,NS-0000000304,IC-0000000302,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Palermo,901600000000202,351554110000081,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"37.913334, 13.36133",O-00000100,OI-0000000378,SC-0000000316,NS-0000000304,IC-0000000302,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Palermo,901600000001050,351554110004133,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"37.913334, 13.36133",O-00000101,OI-0000000380,SC-0000000318,NS-0000000304,IC-0000000302,Classic 50/10/UG,,IP Access,Network Slice,"23/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Stockholm,901600000000962,351554110004471,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"59.211735, 18.083748",O-00000228,OI-0000000801,SC-0000000749,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"06/05/2022, 11:00",05-05-2022,60,12
OneWeb UT - Hughes,OneWeb,Oslo,901600000000289,351554110000131,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"60.143757, 10.807188",O-00000111,OI-0000000414,SC-0000000352,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"23/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Oslo,901600000000204,351554110000123,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"60.143757, 10.807188",O-00000125,OI-0000000432,SC-0000000397,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:15",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Svalbard,901600000000793,351554110006138,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"78.228455, 15.395594",O-00000133,OI-0000000448,SC-0000000413,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:15",07-02-2022,60,12
